color_code,colour_name,hex,R,G,B,css_variable,series,note
701,Yellow,#ffcd02,255,205,2,--fc-701,black-edition,official vector fill (colour chart PDF)
702,Yellow Orange,#ef7d46,239,125,70,--fc-702,black-edition,official vector fill (colour chart PDF)
703,Red,#b7312b,183,49,43,--fc-703,black-edition,official vector fill (colour chart PDF)
704,Pink,#e27c90,226,124,144,--fc-704,black-edition,official vector fill (colour chart PDF)
705,Violet,#62358b,98,53,139,--fc-705,black-edition,official vector fill (colour chart PDF)
706,Light Blue,#13abde,19,171,222,--fc-706,black-edition,official vector fill (colour chart PDF)
707,Cerulean,#194e8a,25,78,138,--fc-707,black-edition,official vector fill (colour chart PDF)
708,Mint Green,#259d90,37,157,144,--fc-708,black-edition,official vector fill (colour chart PDF)
709,Green,#007b54,0,123,84,--fc-709,black-edition,official vector fill (colour chart PDF)
710,Lime,#7ab929,122,185,41,--fc-710,black-edition,official vector fill (colour chart PDF)
711,Brown,#693736,105,55,54,--fc-711,black-edition,official vector fill (colour chart PDF)
712,Black,#000000,0,0,0,--fc-712,black-edition,official vector fill (colour chart PDF)
713,White,#ffffff,255,255,255,--fc-713,black-edition,official vector fill (colour chart PDF)
714,Orange Yellow,#f1b532,241,181,50,--fc-714,black-edition,official vector fill (colour chart PDF)
715,Red Orange,#e84922,232,73,34,--fc-715,black-edition,official vector fill (colour chart PDF)
716,Dark Red,#a92045,169,32,69,--fc-716,black-edition,official vector fill (colour chart PDF)
717,Magenta,#bc589b,188,88,155,--fc-717,black-edition,official vector fill (colour chart PDF)
718,Peach,#f8bca0,248,188,160,--fc-718,black-edition,official vector fill (colour chart PDF)
719,Red Violet,#5f366e,95,54,110,--fc-719,black-edition,official vector fill (colour chart PDF)
720,Periwinkle,#5b8bc3,91,139,195,--fc-720,black-edition,official vector fill (colour chart PDF)
721,Gray Green,#4a783b,74,120,59,--fc-721,black-edition,official vector fill (colour chart PDF)
722,Yellow Ochre,#ae6d15,174,109,21,--fc-722,black-edition,official vector fill (colour chart PDF)
723,Burnt Sienna,#a56c52,165,108,82,--fc-723,black-edition,official vector fill (colour chart PDF)
724,Dark Gray,#606e82,96,110,130,--fc-724,black-edition,official vector fill (colour chart PDF)
725,Green Yellow,#d6e6b5,214,230,181,--fc-725,black-edition,official vector fill (colour chart PDF)
726,Ochre-orange,#f4b020,244,176,32,--fc-726,black-edition,official vector fill (colour chart PDF)
727,Orange,#ec672c,236,103,44,--fc-727,black-edition,official vector fill (colour chart PDF)
728,Sand,#f2bfa0,242,191,160,--fc-728,black-edition,official vector fill (colour chart PDF)
729,Light Crimson,#9e7788,158,119,136,--fc-729,black-edition,official vector fill (colour chart PDF)
730,Petal Rose,#ef7e8b,239,126,139,--fc-730,black-edition,official vector fill (colour chart PDF)
731,Ruby Red,#a93c71,169,60,113,--fc-731,black-edition,official vector fill (colour chart PDF)
732,Salmon,#f19492,241,148,146,--fc-732,black-edition,official vector fill (colour chart PDF)
733,Crimson,#882551,136,37,81,--fc-733,black-edition,official vector fill (colour chart PDF)
734,Slate,#80a0ac,128,160,172,--fc-734,black-edition,official vector fill (colour chart PDF)
735,Pale Rose,#af90a7,175,144,167,--fc-735,black-edition,official vector fill (colour chart PDF)
736,Blue,#2958a5,41,88,165,--fc-736,black-edition,official vector fill (colour chart PDF)
737,Navy Blue,#3d4e81,61,78,129,--fc-737,black-edition,official vector fill (colour chart PDF)
738,Bluish Turquoise,#0082bb,0,130,187,--fc-738,black-edition,official vector fill (colour chart PDF)
739,Turquoise,#0295cc,2,149,204,--fc-739,black-edition,official vector fill (colour chart PDF)
740,Blue green,#006d75,0,109,117,--fc-740,black-edition,official vector fill (colour chart PDF)
741,Teal,#2c888e,44,136,142,--fc-741,black-edition,official vector fill (colour chart PDF)
742,Dark Green,#025844,2,88,68,--fc-742,black-edition,official vector fill (colour chart PDF)
743,Spring Green,#dfdf3d,223,223,61,--fc-743,black-edition,official vector fill (colour chart PDF)
744,Yellow Green,#1da73e,29,167,62,--fc-744,black-edition,official vector fill (colour chart PDF)
745,Burnt Umber,#3e342f,62,52,47,--fc-745,black-edition,official vector fill (colour chart PDF)
746,Taupe,#7e6b5e,126,107,94,--fc-746,black-edition,official vector fill (colour chart PDF)
747,Burnt Ochre,#c16f59,193,111,89,--fc-747,black-edition,official vector fill (colour chart PDF)
748,Mohogany,#732d38,115,45,56,--fc-748,black-edition,official vector fill (colour chart PDF)
749,Blue Violet,#734e5f,115,78,95,--fc-749,black-edition,official vector fill (colour chart PDF)
750,Cool Gray,#5e7e89,94,126,137,--fc-750,black-edition,official vector fill (colour chart PDF)
751,Rose Quartz,#dca9c0,220,169,192,--fc-751,black-edition,official vector fill (colour chart PDF)
752,Orchid,#9b3259,155,50,89,--fc-752,black-edition,official vector fill (colour chart PDF)
753,Persian Red,#a73964,167,57,100,--fc-753,black-edition,official vector fill (colour chart PDF)
754,Plum,#8e80ae,142,128,174,--fc-754,black-edition,official vector fill (colour chart PDF)
755,Lilac,#8a83be,138,131,190,--fc-755,black-edition,official vector fill (colour chart PDF)
756,Amethyst,#6767a3,103,103,163,--fc-756,black-edition,official vector fill (colour chart PDF)
757,Royal Purple,#7967ab,121,103,171,--fc-757,black-edition,official vector fill (colour chart PDF)
758,Mediterranean Blue,#1887c9,24,135,201,--fc-758,black-edition,official vector fill (colour chart PDF)
759,Tropical Green,#75c3ad,117,195,173,--fc-759,black-edition,official vector fill (colour chart PDF)
760,Olive Green,#4b7b2f,75,123,47,--fc-760,black-edition,official vector fill (colour chart PDF)
761,Apple Green,#a8cb63,168,203,99,--fc-761,black-edition,official vector fill (colour chart PDF)
762,Warm Gray,#898d8d,137,141,141,--fc-762,black-edition,official vector fill (colour chart PDF)
763,Light Gray,#b2b1b2,178,177,178,--fc-763,black-edition,official vector fill (colour chart PDF)
764,Scarlet Red,#e83c3e,232,60,62,--fc-764,black-edition,official vector fill (colour chart PDF)
765,Petroleum Blue,#0172a1,1,114,161,--fc-765,black-edition,official vector fill (colour chart PDF)
766,Forest Green,#027447,2,116,71,--fc-766,black-edition,official vector fill (colour chart PDF)
767,Golden Yellow,#f3912d,243,145,45,--fc-767,black-edition,official vector fill (colour chart PDF)
768,Almond,#f4d1b4,244,209,180,--fc-768,black-edition,official vector fill (colour chart PDF)
769,Blush,#e280b0,226,128,176,--fc-769,black-edition,official vector fill (colour chart PDF)
770,Coral,#f6b1ac,246,177,172,--fc-770,black-edition,official vector fill (colour chart PDF)
771,Ultra Violet,#65509c,101,80,156,--fc-771,black-edition,official vector fill (colour chart PDF)
772,Lunar Gray,#89badd,137,186,221,--fc-772,black-edition,official vector fill (colour chart PDF)
773,Blue Quartz,#62a3d4,98,163,212,--fc-773,black-edition,official vector fill (colour chart PDF)
774,Midnight Blue,#657792,101,119,146,--fc-774,black-edition,official vector fill (colour chart PDF)
775,Blue Bolt,#077dab,7,125,171,--fc-775,black-edition,official vector fill (colour chart PDF)
776,Emerald Green,#009b77,0,155,119,--fc-776,black-edition,official vector fill (colour chart PDF)
777,Shamrock,#2c9b47,44,155,71,--fc-777,black-edition,official vector fill (colour chart PDF)
778,Fern,#71b84e,113,184,78,--fc-778,black-edition,official vector fill (colour chart PDF)
779,Palm Leaf,#c2da94,194,218,148,--fc-779,black-edition,official vector fill (colour chart PDF)
780,Khaki,#edc4b2,237,196,178,--fc-780,black-edition,official vector fill (colour chart PDF)
781,Cappuccino,#e4a084,228,160,132,--fc-781,black-edition,official vector fill (colour chart PDF)
782,Antique Brass,#b2967f,178,150,127,--fc-782,black-edition,official vector fill (colour chart PDF)
783,Hazelnut,#997272,153,114,114,--fc-783,black-edition,official vector fill (colour chart PDF)
784,Espresso,#5d3e32,93,62,50,--fc-784,black-edition,official vector fill (colour chart PDF)
785,Ivory,#d2b467,210,180,103,--fc-785,black-edition,official vector fill (colour chart PDF)
786,Oak,#9f7636,159,118,54,--fc-786,black-edition,official vector fill (colour chart PDF)
787,Terracotta,#c26f60,194,111,96,--fc-787,black-edition,official vector fill (colour chart PDF)
788,Clove,#5c4739,92,71,57,--fc-788,black-edition,official vector fill (colour chart PDF)
789,Pastel Yellow,#efe991,239,233,145,--fc-789,black-edition,official vector fill (colour chart PDF)
790,Pastel Pink,#eabbd8,234,187,216,--fc-790,black-edition,official vector fill (colour chart PDF)
791,Pastel Orange,#f5a98d,245,169,141,--fc-791,black-edition,official vector fill (colour chart PDF)
792,Pastel Purple,#b8acd0,184,172,208,--fc-792,black-edition,official vector fill (colour chart PDF)
793,Pastel Blue,#6dabde,109,171,222,--fc-793,black-edition,official vector fill (colour chart PDF)
794,Pastel Green,#a0cd94,160,205,148,--fc-794,black-edition,official vector fill (colour chart PDF)
795,Neon Yellow,#cfd71f,207,215,31,--fc-795,black-edition,official vector fill (colour chart PDF)
796,Neon Orange,#f49e6d,244,158,109,--fc-796,black-edition,official vector fill (colour chart PDF)
797,Neon Pink,#ea4f96,234,79,150,--fc-797,black-edition,official vector fill (colour chart PDF)
798,Neon Blue,#1ba2dd,27,162,221,--fc-798,black-edition,official vector fill (colour chart PDF)
799,Neon Green,#93c464,147,196,100,--fc-799,black-edition,official vector fill (colour chart PDF)
800,Neon Purple,#768bc0,118,139,192,--fc-800,black-edition,official vector fill (colour chart PDF)
801,Beige,#edc6b3,237,198,179,--fc-801,black-edition,official vector fill (colour chart PDF)
802,Porcelain,#eacbbb,234,203,187,--fc-802,black-edition,official vector fill (colour chart PDF)
803,Oatmeal,#c2a18a,194,161,138,--fc-803,black-edition,official vector fill (colour chart PDF)
804,Onyx,#584446,88,68,70,--fc-804,black-edition,official vector fill (colour chart PDF)
805,Caramel,#a76f5f,167,111,95,--fc-805,black-edition,official vector fill (colour chart PDF)
806,Walnut,#392e2c,57,46,44,--fc-806,black-edition,official vector fill (colour chart PDF)
807,Gold,#e4d9b6,228,217,182,--fc-807,black-edition,"metallic – approximate (gradient swatch, no single true hex)"
808,Metallic Yellow,#fff9bf,255,249,191,--fc-808,black-edition,"metallic – approximate (gradient swatch, no single true hex)"
809,Bronze,#e2cac0,226,202,192,--fc-809,black-edition,"metallic – approximate (gradient swatch, no single true hex)"
810,Metallic Red,#d0aba7,208,171,167,--fc-810,black-edition,"metallic – approximate (gradient swatch, no single true hex)"
811,Metallic Aqua Green,#8dbdb8,141,189,184,--fc-811,black-edition,"metallic – approximate (gradient swatch, no single true hex)"
812,Metallic Green,#91b1a3,145,177,163,--fc-812,black-edition,"metallic – approximate (gradient swatch, no single true hex)"
