colour_code,colour_name,product_line,set_size_ct,included
701,Yellow,Black Edition colour pencils,12,1
703,Red,Black Edition colour pencils,12,1
706,Light Blue,Black Edition colour pencils,12,1
707,Cerulean,Black Edition colour pencils,12,1
709,Green,Black Edition colour pencils,12,1
710,Lime,Black Edition colour pencils,12,1
711,Brown,Black Edition colour pencils,12,1
712,Black,Black Edition colour pencils,12,1
718,Peach,Black Edition colour pencils,12,1
724,Dark Gray,Black Edition colour pencils,12,1
727,Orange,Black Edition colour pencils,12,1
731,Ruby Red,Black Edition colour pencils,12,1
701,Yellow,Black Edition colour pencils,24,1
703,Red,Black Edition colour pencils,24,1
704,Pink,Black Edition colour pencils,24,1
705,Violet,Black Edition colour pencils,24,1
706,Light Blue,Black Edition colour pencils,24,1
707,Cerulean,Black Edition colour pencils,24,1
708,Mint Green,Black Edition colour pencils,24,1
709,Green,Black Edition colour pencils,24,1
710,Lime,Black Edition colour pencils,24,1
711,Brown,Black Edition colour pencils,24,1
712,Black,Black Edition colour pencils,24,1
713,White,Black Edition colour pencils,24,1
714,Orange Yellow,Black Edition colour pencils,24,1
715,Red Orange,Black Edition colour pencils,24,1
716,Dark Red,Black Edition colour pencils,24,1
718,Peach,Black Edition colour pencils,24,1
719,Red Violet,Black Edition colour pencils,24,1
720,Periwinkle,Black Edition colour pencils,24,1
722,Yellow Ochre,Black Edition colour pencils,24,1
724,Dark Gray,Black Edition colour pencils,24,1
727,Orange,Black Edition colour pencils,24,1
731,Ruby Red,Black Edition colour pencils,24,1
738,Bluish Turquoise,Black Edition colour pencils,24,1
748,Mohogany,Black Edition colour pencils,24,1
701,Yellow,Black Edition colour pencils,36,1
703,Red,Black Edition colour pencils,36,1
704,Pink,Black Edition colour pencils,36,1
705,Violet,Black Edition colour pencils,36,1
706,Light Blue,Black Edition colour pencils,36,1
707,Cerulean,Black Edition colour pencils,36,1
708,Mint Green,Black Edition colour pencils,36,1
709,Green,Black Edition colour pencils,36,1
710,Lime,Black Edition colour pencils,36,1
711,Brown,Black Edition colour pencils,36,1
712,Black,Black Edition colour pencils,36,1
713,White,Black Edition colour pencils,36,1
714,Orange Yellow,Black Edition colour pencils,36,1
715,Red Orange,Black Edition colour pencils,36,1
716,Dark Red,Black Edition colour pencils,36,1
717,Magenta,Black Edition colour pencils,36,1
718,Peach,Black Edition colour pencils,36,1
719,Red Violet,Black Edition colour pencils,36,1
720,Periwinkle,Black Edition colour pencils,36,1
722,Yellow Ochre,Black Edition colour pencils,36,1
723,Burnt Sienna,Black Edition colour pencils,36,1
724,Dark Gray,Black Edition colour pencils,36,1
727,Orange,Black Edition colour pencils,36,1
730,Petal Rose,Black Edition colour pencils,36,1
731,Ruby Red,Black Edition colour pencils,36,1
732,Salmon,Black Edition colour pencils,36,1
733,Crimson,Black Edition colour pencils,36,1
734,Slate,Black Edition colour pencils,36,1
735,Pale Rose,Black Edition colour pencils,36,1
736,Blue,Black Edition colour pencils,36,1
738,Bluish Turquoise,Black Edition colour pencils,36,1
739,Turquoise,Black Edition colour pencils,36,1
740,Blue green,Black Edition colour pencils,36,1
742,Dark Green,Black Edition colour pencils,36,1
744,Yellow Green,Black Edition colour pencils,36,1
748,Mohogany,Black Edition colour pencils,36,1
701,Yellow,Black Edition colour pencils,50,1
702,Yellow Orange,Black Edition colour pencils,50,1
703,Red,Black Edition colour pencils,50,1
704,Pink,Black Edition colour pencils,50,1
705,Violet,Black Edition colour pencils,50,1
706,Light Blue,Black Edition colour pencils,50,1
707,Cerulean,Black Edition colour pencils,50,1
708,Mint Green,Black Edition colour pencils,50,1
