color_code,colour_name,hex,R,G,B,css_variable,source_page,note
101,white,#ffffff,255,255,255,--fc-101,1,cross-validated (independent extraction + pixel)
102,cream,#fff1bc,255,241,188,--fc-102,1,cross-validated (independent extraction + pixel)
103,ivory,#fff5dd,255,245,221,--fc-103,1,cross-validated (independent extraction + pixel)
104,light yellow glaze,#f9ec66,249,236,102,--fc-104,1,cross-validated (independent extraction + pixel)
105,light cadmium yellow,#ffe52e,255,229,46,--fc-105,1,cross-validated (independent extraction + pixel)
106,light chrome yellow,#ffde38,255,222,56,--fc-106,1,cross-validated (independent extraction + pixel)
107,cadmium yellow,#ffd518,255,213,24,--fc-107,1,cross-validated (independent extraction + pixel)
108,dark cadmium yellow,#fcc300,252,195,0,--fc-108,1,cross-validated (independent extraction + pixel)
109,dark chrome yellow,#f7a71f,247,167,31,--fc-109,1,cross-validated (independent extraction + pixel)
110,phthalo blue,#0078be,0,120,190,--fc-110,1,cross-validated (independent extraction + pixel)
111,cadmium orange,#f18b0f,241,139,15,--fc-111,1,cross-validated (independent extraction + pixel)
112,leaf green,#4eaf4d,78,175,77,--fc-112,1,cross-validated (independent extraction + pixel)
113,orange glaze,#ef7b28,239,123,40,--fc-113,1,cross-validated (independent extraction + pixel)
114,pale pink,#fef3ec,254,243,236,--fc-114,5,pixel-sampled
115,dark cadmium orange,#ed7225,237,114,37,--fc-115,1,cross-validated (independent extraction + pixel)
116,apricot,#fee6c8,254,230,200,--fc-116,5,pixel-sampled
117,light cadmium red,#e94939,233,73,57,--fc-117,1,cross-validated (independent extraction + pixel)
118,scarlet red,#e2413b,226,65,59,--fc-118,1,cross-validated (independent extraction + pixel)
119,light magenta,#dc89b9,220,137,185,--fc-119,1,cross-validated (independent extraction + pixel)
120,ultramarine,#5368af,83,104,175,--fc-120,1,cross-validated (independent extraction + pixel)
121,pale geranium lake,#e73945,231,57,69,--fc-121,1,cross-validated (independent extraction + pixel)
123,fuchsia,#e8427f,232,66,127,--fc-123,1,cross-validated (independent extraction + pixel)
124,rose carmine,#e4536b,228,83,107,--fc-124,1,cross-validated (independent extraction + pixel)
125,middle purple pink,#c63982,198,57,130,--fc-125,1,cross-validated (independent extraction + pixel)
126,permanent carmine,#d42842,212,40,66,--fc-126,1,cross-validated (independent extraction + pixel)
127,pink carmine,#e3486e,227,72,110,--fc-127,1,cross-validated (independent extraction + pixel)
128,light purple pink,#ec6895,236,104,149,--fc-128,1,cross-validated (independent extraction + pixel)
129,pink madder lake,#ef89b2,239,137,178,--fc-129,1,cross-validated (independent extraction + pixel)
130,salmon,#f39b96,243,155,150,--fc-130,1,cross-validated (independent extraction + pixel)
