colour_code,colour_name,product_line,set_size_ct,included
101,white,Polychromos colour pencils,120,1
102,cream,Polychromos colour pencils,120,1
103,ivory,Polychromos colour pencils,120,1
104,light yellow glaze,Polychromos colour pencils,120,1
105,light cadmium yellow,Polychromos colour pencils,120,1
106,light chrome yellow,Polychromos colour pencils,120,1
107,cadmium yellow,Polychromos colour pencils,120,1
108,dark cadmium yellow,Polychromos colour pencils,120,1
109,dark chrome yellow,Polychromos colour pencils,120,1
110,phthalo blue,Polychromos colour pencils,120,1
111,cadmium orange,Polychromos colour pencils,120,1
112,leaf green,Polychromos colour pencils,120,1
113,orange glaze,Polychromos colour pencils,120,1
115,dark cadmium orange,Polychromos colour pencils,120,1
117,light cadmium red,Polychromos colour pencils,120,1
118,scarlet red,Polychromos colour pencils,120,1
119,light magenta,Polychromos colour pencils,120,1
120,ultramarine,Polychromos colour pencils,120,1
121,pale geranium lake,Polychromos colour pencils,120,1
123,fuchsia,Polychromos colour pencils,120,1
124,rose carmine,Polychromos colour pencils,120,1
125,middle purple pink,Polychromos colour pencils,120,1
126,permanent carmine,Polychromos colour pencils,120,1
127,pink carmine,Polychromos colour pencils,120,1
128,light purple pink,Polychromos colour pencils,120,1
129,pink madder lake,Polychromos colour pencils,120,1
130,salmon,Polychromos colour pencils,120,1
131,coral,Polychromos colour pencils,120,1
132,beige red,Polychromos colour pencils,120,1
133,magenta,Polychromos colour pencils,120,1
134,crimson,Polychromos colour pencils,120,1
135,light red violet,Polychromos colour pencils,120,1
136,purple violet,Polychromos colour pencils,120,1
137,blue violet,Polychromos colour pencils,120,1
138,violet,Polychromos colour pencils,120,1
140,light ultramarin,Polychromos colour pencils,120,1
141,Delft blue,Polychromos colour pencils,120,1
142,madder,Polychromos colour pencils,120,1
143,cobalt blue,Polychromos colour pencils,120,1
144,cobalt blue greenish,Polychromos colour pencils,120,1
145,light phthalo blue,Polychromos colour pencils,120,1
146,sky blue,Polychromos colour pencils,120,1
149,bluish turquoise,Polychromos colour pencils,120,1
151,helioblue reddish,Polychromos colour pencils,120,1
152,middle phthalo blue,Polychromos colour pencils,120,1
153,cobalt turquoise,Polychromos colour pencils,120,1
154,light cobalt turquoise,Polychromos colour pencils,120,1
155,helio turquoise,Polychromos colour pencils,120,1
156,cobalt green,Polychromos colour pencils,120,1
157,dark indigo,Polychromos colour pencils,120,1
158,deep cobalt green,Polychromos colour pencils,120,1
159,Hooker´s green,Polychromos colour pencils,120,1
160,manganese violet,Polychromos colour pencils,120,1
161,phthalo green,Polychromos colour pencils,120,1
162,light phthalo green,Polychromos colour pencils,120,1
163,emerald green,Polychromos colour pencils,120,1
165,juniper green,Polychromos colour pencils,120,1
166,grass green,Polychromos colour pencils,120,1
167,permanent green olive,Polychromos colour pencils,120,1
168,earth green yellowish,Polychromos colour pencils,120,1
169,caput mortuum,Polychromos colour pencils,120,1
170,may green,Polychromos colour pencils,120,1
171,light green,Polychromos colour pencils,120,1
172,earth green,Polychromos colour pencils,120,1
173,olive green yellowish,Polychromos colour pencils,120,1
174,chromium green opaque,Polychromos colour pencils,120,1
175,dark sepia,Polychromos colour pencils,120,1
176,Van-Dyck-brown,Polychromos colour pencils,120,1
177,walnut brown,Polychromos colour pencils,120,1
178,nougat,Polychromos colour pencils,120,1
179,bistre,Polychromos colour pencils,120,1
180,raw umber,Polychromos colour pencils,120,1
181,Payne´s grey,Polychromos colour pencils,120,1
182,brown ochre,Polychromos colour pencils,120,1
183,light yellow ochre,Polychromos colour pencils,120,1
184,dark Naples ochre,Polychromos colour pencils,120,1
185,Naples yellow,Polychromos colour pencils,120,1
186,terracotta,Polychromos colour pencils,120,1
187,burnt ochre,Polychromos colour pencils,120,1
188,sanguine,Polychromos colour pencils,120,1
189,cinnamon,Polychromos colour pencils,120,1
190,Venetian red,Polychromos colour pencils,120,1
191,Pompeian red,Polychromos colour pencils,120,1
192,India red,Polychromos colour pencils,120,1
193,burnt carmine,Polychromos colour pencils,120,1
194,red violet,Polychromos colour pencils,120,1
199,black,Polychromos colour pencils,120,1
205,cadmium yellow lemon,Polychromos colour pencils,120,1
217,middle cadmium red,Polychromos colour pencils,120,1
219,deep scarlet red,Polychromos colour pencils,120,1
223,deep red,Polychromos colour pencils,120,1
225,dark red,Polychromos colour pencils,120,1
226,alizarin crimson,Polychromos colour pencils,120,1
230,cold grey I,Polychromos colour pencils,120,1
231,cold grey II,Polychromos colour pencils,120,1
232,cold grey III,Polychromos colour pencils,120,1
233,cold grey IV,Polychromos colour pencils,120,1
234,cold grey V,Polychromos colour pencils,120,1
235,cold grey VI,Polychromos colour pencils,120,1
246,Prussian blue,Polychromos colour pencils,120,1
247,indanthrene blue,Polychromos colour pencils,120,1
249,mauve,Polychromos colour pencils,120,1
250,gold,Polychromos colour pencils,120,1
251,silver,Polychromos colour pencils,120,1
252,copper,Polychromos colour pencils,120,1
263,caput mortuum violet,Polychromos colour pencils,120,1
264,dark phthalo green,Polychromos colour pencils,120,1
266,permanent green,Polychromos colour pencils,120,1
267,pine green,Polychromos colour pencils,120,1
268,green gold,Polychromos colour pencils,120,1
270,warm grey I,Polychromos colour pencils,120,1
271,warm grey II,Polychromos colour pencils,120,1
272,warm grey III,Polychromos colour pencils,120,1
273,warm grey IV,Polychromos colour pencils,120,1
274,warm grey V,Polychromos colour pencils,120,1
275,warm grey VI,Polychromos colour pencils,120,1
276,chrome oxide green fiery,Polychromos colour pencils,120,1
278,chrome oxide green,Polychromos colour pencils,120,1
280,burnt umber,Polychromos colour pencils,120,1
