colour_code,colour_name,product_line,set_size_ct,included
101,white,Polychromos colour pencils,12,1
101,white,Polychromos colour pencils,24,1
101,white,Polychromos colour pencils,36,1
101,white,Polychromos colour pencils,60,1
101,white,Polychromos colour pencils,72,1
101,white,Polychromos Pastels,12,1
101,white,Polychromos Pastels,24,1
101,white,Polychromos Pastels,36,1
101,white,Polychromos Pastels,60,1
101,white,Albrecht Durer watercolour pencils,12,1
101,white,Albrecht Durer watercolour pencils,24,1
101,white,Albrecht Durer watercolour pencils,36,1
101,white,Albrecht Durer watercolour pencils,60,1
101,white,Albrecht Durer watercolour pencils,72,1
101,white,Albrecht Durer Magnus,12,1
101,white,Albrecht Durer Magnus,24,1
101,white,Albrecht Durer Magnus,30,1
101,white,Pitt Pastel pencils,12,1
101,white,Pitt Pastel pencils,24,1
101,white,Pitt Pastel pencils,36,1
101,white,Pitt Pastel pencils,60,1
102,cream,Polychromos colour pencils,36,1
102,cream,Polychromos colour pencils,60,1
102,cream,Polychromos colour pencils,72,1
102,cream,Albrecht Durer watercolour pencils,36,1
102,cream,Albrecht Durer watercolour pencils,60,1
102,cream,Albrecht Durer watercolour pencils,72,1
102,cream,Albrecht Durer Magnus,30,1
102,cream,Pitt Pastel pencils,24,1
102,cream,Pitt Pastel pencils,36,1
102,cream,Pitt Pastel pencils,60,1
103,ivory,Polychromos Pastels,60,1
103,ivory,Pitt Pastel pencils,36,1
103,ivory,Pitt Pastel pencils,60,1
104,light yellow glaze,Polychromos colour pencils,24,1
104,light yellow glaze,Polychromos colour pencils,36,1
104,light yellow glaze,Polychromos colour pencils,60,1
104,light yellow glaze,Polychromos colour pencils,72,1
104,light yellow glaze,Polychromos Pastels,24,1
104,light yellow glaze,Polychromos Pastels,36,1
104,light yellow glaze,Polychromos Pastels,60,1
104,light yellow glaze,Albrecht Durer watercolour pencils,24,1
104,light yellow glaze,Albrecht Durer watercolour pencils,36,1
104,light yellow glaze,Albrecht Durer watercolour pencils,60,1
104,light yellow glaze,Albrecht Durer watercolour pencils,72,1
104,light yellow glaze,Albrecht Durer Magnus,24,1
104,light yellow glaze,Albrecht Durer Magnus,30,1
104,light yellow glaze,Pitt Pastel pencils,60,1
105,light cadmium yellow,Polychromos colour pencils,60,1
105,light cadmium yellow,Polychromos colour pencils,72,1
105,light cadmium yellow,Albrecht Durer watercolour pencils,60,1
105,light cadmium yellow,Albrecht Durer watercolour pencils,72,1
106,light chrome yellow,Pitt Pastel pencils,12,1
106,light chrome yellow,Pitt Pastel pencils,24,1
106,light chrome yellow,Pitt Pastel pencils,36,1
106,light chrome yellow,Pitt Pastel pencils,60,1
107,cadmium yellow,Polychromos colour pencils,12,1
107,cadmium yellow,Polychromos colour pencils,24,1
107,cadmium yellow,Polychromos colour pencils,36,1
107,cadmium yellow,Polychromos colour pencils,60,1
107,cadmium yellow,Polychromos colour pencils,72,1
107,cadmium yellow,Polychromos Pastels,12,1
107,cadmium yellow,Polychromos Pastels,24,1
107,cadmium yellow,Polychromos Pastels,36,1
107,cadmium yellow,Polychromos Pastels,60,1
107,cadmium yellow,Albrecht Durer watercolour pencils,12,1
107,cadmium yellow,Albrecht Durer watercolour pencils,24,1
107,cadmium yellow,Albrecht Durer watercolour pencils,36,1
107,cadmium yellow,Albrecht Durer watercolour pencils,60,1
107,cadmium yellow,Albrecht Durer watercolour pencils,72,1
107,cadmium yellow,Albrecht Durer Magnus,12,1
107,cadmium yellow,Albrecht Durer Magnus,24,1
107,cadmium yellow,Albrecht Durer Magnus,30,1
108,dark cadmium yellow,Polychromos colour pencils,60,1
108,dark cadmium yellow,Polychromos colour pencils,72,1
108,dark cadmium yellow,Polychromos Pastels,60,1
108,dark cadmium yellow,Albrecht Durer watercolour pencils,60,1
108,dark cadmium yellow,Albrecht Durer watercolour pencils,72,1
109,dark chrome yellow,Polychromos colour pencils,24,1
109,dark chrome yellow,Polychromos colour pencils,36,1
109,dark chrome yellow,Polychromos colour pencils,60,1
109,dark chrome yellow,Polychromos colour pencils,72,1
109,dark chrome yellow,Polychromos Pastels,36,1
109,dark chrome yellow,Polychromos Pastels,60,1
109,dark chrome yellow,Albrecht Durer watercolour pencils,24,1
109,dark chrome yellow,Albrecht Durer watercolour pencils,36,1
109,dark chrome yellow,Albrecht Durer watercolour pencils,60,1
109,dark chrome yellow,Albrecht Durer watercolour pencils,72,1
109,dark chrome yellow,Albrecht Durer Magnus,24,1
109,dark chrome yellow,Albrecht Durer Magnus,30,1
109,dark chrome yellow,Pitt Pastel pencils,12,1
109,dark chrome yellow,Pitt Pastel pencils,24,1
109,dark chrome yellow,Pitt Pastel pencils,36,1
109,dark chrome yellow,Pitt Pastel pencils,60,1
110,phthalo blue,Polychromos colour pencils,12,1
110,phthalo blue,Polychromos colour pencils,24,1
110,phthalo blue,Polychromos colour pencils,36,1
110,phthalo blue,Polychromos colour pencils,60,1
110,phthalo blue,Polychromos colour pencils,72,1
110,phthalo blue,Polychromos Pastels,24,1
110,phthalo blue,Polychromos Pastels,36,1
110,phthalo blue,Polychromos Pastels,60,1
110,phthalo blue,Albrecht Durer watercolour pencils,12,1
110,phthalo blue,Albrecht Durer watercolour pencils,24,1
110,phthalo blue,Albrecht Durer watercolour pencils,36,1
110,phthalo blue,Albrecht Durer watercolour pencils,60,1
110,phthalo blue,Albrecht Durer watercolour pencils,72,1
110,phthalo blue,Albrecht Durer Magnus,12,1
110,phthalo blue,Albrecht Durer Magnus,24,1
110,phthalo blue,Albrecht Durer Magnus,30,1
111,cadmium orange,Polychromos colour pencils,36,1
111,cadmium orange,Polychromos colour pencils,60,1
111,cadmium orange,Polychromos colour pencils,72,1
111,cadmium orange,Albrecht Durer watercolour pencils,36,1
111,cadmium orange,Albrecht Durer watercolour pencils,60,1
111,cadmium orange,Albrecht Durer watercolour pencils,72,1
112,leaf green,Polychromos colour pencils,36,1
112,leaf green,Polychromos colour pencils,60,1
112,leaf green,Polychromos colour pencils,72,1
112,leaf green,Albrecht Durer watercolour pencils,36,1
112,leaf green,Albrecht Durer watercolour pencils,60,1
112,leaf green,Albrecht Durer watercolour pencils,72,1
112,leaf green,Albrecht Durer Magnus,30,1
113,orange glaze,Pitt Pastel pencils,24,1
113,orange glaze,Pitt Pastel pencils,36,1
113,orange glaze,Pitt Pastel pencils,60,1
115,dark cadmium orange,Polychromos colour pencils,12,1
115,dark cadmium orange,Polychromos colour pencils,24,1
115,dark cadmium orange,Polychromos colour pencils,36,1
115,dark cadmium orange,Polychromos colour pencils,60,1
115,dark cadmium orange,Polychromos colour pencils,72,1
115,dark cadmium orange,Polychromos Pastels,12,1
115,dark cadmium orange,Polychromos Pastels,24,1
115,dark cadmium orange,Polychromos Pastels,36,1
115,dark cadmium orange,Polychromos Pastels,60,1
115,dark cadmium orange,Albrecht Durer watercolour pencils,12,1
115,dark cadmium orange,Albrecht Durer watercolour pencils,24,1
115,dark cadmium orange,Albrecht Durer watercolour pencils,36,1
115,dark cadmium orange,Albrecht Durer watercolour pencils,60,1
115,dark cadmium orange,Albrecht Durer watercolour pencils,72,1
115,dark cadmium orange,Albrecht Durer Magnus,12,1
115,dark cadmium orange,Albrecht Durer Magnus,24,1
115,dark cadmium orange,Albrecht Durer Magnus,30,1
118,scarlet red,Polychromos colour pencils,72,1
118,scarlet red,Polychromos Pastels,60,1
118,scarlet red,Albrecht Durer watercolour pencils,72,1
118,scarlet red,Pitt Pastel pencils,12,1
118,scarlet red,Pitt Pastel pencils,24,1
118,scarlet red,Pitt Pastel pencils,36,1
118,scarlet red,Pitt Pastel pencils,60,1
119,light magenta,Polychromos colour pencils,72,1
119,light magenta,Albrecht Durer watercolour pencils,72,1
120,ultramarine,Polychromos colour pencils,24,1
120,ultramarine,Polychromos colour pencils,36,1
120,ultramarine,Polychromos colour pencils,60,1
120,ultramarine,Polychromos colour pencils,72,1
120,ultramarine,Polychromos Pastels,12,1
120,ultramarine,Polychromos Pastels,24,1
120,ultramarine,Polychromos Pastels,36,1
120,ultramarine,Polychromos Pastels,60,1
120,ultramarine,Albrecht Durer watercolour pencils,24,1
120,ultramarine,Albrecht Durer watercolour pencils,36,1
120,ultramarine,Albrecht Durer watercolour pencils,60,1
120,ultramarine,Albrecht Durer watercolour pencils,72,1
120,ultramarine,Albrecht Durer Magnus,24,1
120,ultramarine,Albrecht Durer Magnus,30,1
121,pale geranium lake,Polychromos colour pencils,24,1
121,pale geranium lake,Polychromos colour pencils,36,1
121,pale geranium lake,Polychromos colour pencils,60,1
121,pale geranium lake,Polychromos colour pencils,72,1
121,pale geranium lake,Polychromos Pastels,60,1
121,pale geranium lake,Albrecht Durer watercolour pencils,24,1
121,pale geranium lake,Albrecht Durer watercolour pencils,36,1
121,pale geranium lake,Albrecht Durer watercolour pencils,60,1
121,pale geranium lake,Albrecht Durer watercolour pencils,72,1
121,pale geranium lake,Albrecht Durer Magnus,24,1
121,pale geranium lake,Albrecht Durer Magnus,30,1
123,fuchsia,Polychromos Pastels,24,1
123,fuchsia,Polychromos Pastels,36,1
123,fuchsia,Polychromos Pastels,60,1
124,rose carmine,Polychromos colour pencils,36,1
124,rose carmine,Polychromos colour pencils,60,1
124,rose carmine,Polychromos colour pencils,72,1
124,rose carmine,Albrecht Durer watercolour pencils,36,1
124,rose carmine,Albrecht Durer watercolour pencils,60,1
124,rose carmine,Albrecht Durer watercolour pencils,72,1
